,,QuestionID,,,,,,,,,,,,,,,,,,,,,,,,
ParticipantID,MethodID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
1,1,1,Yes,No,Smartphone,Yes,-2,-2,No,N/A,N/A,N/A,N/A,0,0,0,0,None,No,0,N/A,Noise and humming,No,No,Device was heavy and not ergonomic,
2,1,1,No,No,Smartphone,No,1,0,No,N/A,N/A,N/A,N/A,0,0,0,0,None,No,0,N/A,Buzzing,No,No,"Device was heavy, but handles made use better",
3,1,3,Yes,Yes,Smartphone,Yes,-1,-3,No,N/A,N/A,N/A,N/A,0,0,0,0,None,No,0,N/A,Vibration,No,No,None,
4,1,2,Yes,No,Smartphone,Yes,0,0,No,N/A,N/A,N/A,N/A,,0,0,2,None,No,0,N/A,Vibration,No,No,None,
5,1,1,No,No,Smartphone,No,0,-1,No,N/A,N/A,N/A,N/A,0,0,0,0,None,No,0,N/A,Slight Shaking,No,No,"Device was initially OK, but was heavy by the end of the test",
6,2,3,Yes,No,Smartphone,Yes,-1,-1,Yes,3,3,3,2,N/A,N/A,N/A,N/A,Horizontal Tests,2 (Horizontally); 1 (Vertically),2,3 (initial jolt) 1 (continuous) ,,Yes,No,None,
7,2,3,Yes,Yes,Smartphone,Yes,1,-4,No,5,4,2,4,N/A,N/A,N/A,N/A,Figure 8,3 (Horizontally); 1 (Vertically),3,1,N/A,Yes,Yes,Thought device was meant to help with motor impairment or simulate it,
8,2,3,Yes,No,Smartphone,Yes,4,-2,No,1,1,2,1,N/A,N/A,N/A,N/A,None,1,1,1,N/A,Yes,Yes,Initially ignored device feedback,
9,2,3,Yes,No,Smartphone,Yes,3,1,Yes,4,2,4,2,N/A,N/A,N/A,N/A,Vertical Tests,2,1,1,N/A,No,Yes,"Recognized that device was trying to guide to some point, felt that if told purpose would have tested feedback",
10,2,1,No,No,Smartphone,No,1,-2,Yes,3,2,2,3,N/A,N/A,N/A,N/A,Horizontal Tests,3 (Horizontally); 1 (Vertically),2,2 (initial jolt) 1 (continuous) ,N/A,No,No,Rig felt like it was coming off-balance and rebalancing itself,
11,3,3,Yes,No,Smartphone,Yes,-2,-1,~ (Told Initially),3,3,3,4,N/A,N/A,N/A,N/A,Horizontal Tests,1,3,3 (initial jolt) 1 (continuous) ,N/A,Yes,No,None,
12,3,3,Yes,No,Smartphone,Yes,4,0,~ (Told Initially),3,2,2,1,N/A,N/A,N/A,N/A,None,0,0,N/A,Wobbling,No,No,Felt Wobbling,
13,3,3,No,No,Smartphone,No,1,-1,~ (Told Initially),4,2,2,3,N/A,N/A,N/A,N/A,Horizontal Tests,1,1,"1 (initial jolt), 0 (continous)",N/A,Yes,No,Felt direction while tracking only in one dimension,
14,3,3,Yes,Yes,Smartphone,Yes,-3,-2,~ (Told Initially),2,1,2,1,N/A,N/A,N/A,N/A,None,0,0,N/A,Jittering,No,No,"Felt jolts while photographing, but not while tracking",
15,3,1,No,No,Smartphone,No,-3,-2,~ (Told Initially),4,2,1,4,N/A,N/A,N/A,N/A,Diagonal,2 (Horizontally); 1 (Vertically),2,1,N/A,Yes,Yes,Felt more stable while device was on while tracking,
